ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,IPA,Dutch
Enggano-1_head-1,1,Enggano,1_head,é oeloe,e # u l u,e   #   u   l   u,,oudemans1879,,,é # oe l oe,,,hoofd
Mentawai-1_head-1,2,Mentawai,1_head,oté,O t e,ɔ   t   e,,oudemans1879,,,o t é,,,hoofd
Nias-1_head-1,3,Nias,1_head,heugen,h e:u g e n,h   ɛ u   g   e   n,,oudemans1879,,,h eu g e n,,,hoofd
Enggano-2_ear-1,4,Enggano,2_ear,kaliha,k a l i x a,k   a   l   i   ç   a,,oudemans1879,,,k a l i h a,,,oor
Mentawai-2_ear-1,5,Mentawai,2_ear,talinga,t a l i ng a,t   a   l   i   ŋ   a,,oudemans1879,,,t a l i ng a,,,oor
Nias-2_ear-1,6,Nias,2_ear,talinga,t a l i ng a,t   a   l   i   ŋ   a,,oudemans1879,,,t a l i ng a,,,oor
Enggano-3_nose-1,7,Enggano,3_nose,éfano,e f a n O,e   f   a   n   ɔ,,oudemans1879,,,é f a n o,,,neus
Mentawai-3_nose-1,8,Mentawai,3_nose,asak,a s a k,a   s   a   k,,oudemans1879,,,a s a k,,,neus
Nias-3_nose-1,9,Nias,3_nose,idong,i d O ng,i   d   ɔ   ŋ,,oudemans1879,,,i d o ng,,,neus
Enggano-4_mouth-1,10,Enggano,4_mouth,ékā,e k a a,e   k   a ː,,oudemans1879,,,é k ā,,,mond
Mentawai-4_mouth-1,11,Mentawai,4_mouth,bibo,b i b O,b   i   b   ɔ,,oudemans1879,,,b i b o,,,mond
Nias-4_mouth-1,12,Nias,4_mouth,baba,b a b a,b   a   b   a,,oudemans1879,,,b a b a,,,mond
Enggano-5_eye-1,13,Enggano,5_eye,ébāka,e b a a k a,e   b   a ː   k   a,,oudemans1879,,,é b ā k a,,,oog
Mentawai-5_eye-1,14,Mentawai,5_eye,mata,m a t a,m   a   t   a,,oudemans1879,,,m a t a,,,oog
Nias-5_eye-1,15,Nias,5_eye,mata,m a t a,m   a   t   a,,oudemans1879,,,m a t a,,,oog
Enggano-6_chin-1,16,Enggano,6_chin,ékie,e k i,e   k   i,,oudemans1879,,,é k ie,,,kin
Mentawai-6_chin-1,17,Mentawai,6_chin,bakĕla,b a k e l a,b   a   k   e   l   a,,oudemans1879,,,b a k ĕ l a,,,kin
Nias-6_chin-1,18,Nias,6_chin,bèmbè,b E mb E,b   ɛ   ʙ   ɛ,,oudemans1879,,,b è mb è,,,kin
Enggano-7_headhair-1,19,Enggano,7_headhair,foedoedoe-oeloe,f u d u d u ' u l u,f   u   d   u   d   u   ʔ   u   l   u,,oudemans1879,,,f oe d oe d oe - oe l oe,,,hoofdhaar
Mentawai-7_headhair-1,20,Mentawai,7_headhair,alai,a l a:i,a   l   a i,,oudemans1879,,,a l ai,,,hoofdhaar
Nias-7_headhair-1,21,Nias,7_headhair,boe-oe,b u ' u,b   u   ʔ   u,,oudemans1879,,,b oe - oe,,,hoofdhaar
Enggano-8_beard-1,22,Enggano,8_beard,fororoife,f O r O r o:i f e,f   ɔ   r   ɔ   r   ɔ i   f   e,,oudemans1879,,,f o r o r oi f e,,,baard
Mentawai-8_beard-1,23,Mentawai,8_beard,boeloe,b u l u,b   u   l   u,,oudemans1879,,,b oe l oe,,,baard
Nias-8_beard-1,24,Nias,8_beard,gambi,g a mb i,g   a   ʙ   i,,oudemans1879,,,g a mb i,,,baard
Enggano-9_neck-1,25,Enggano,9_neck,hoenoe,h u n u,h   u   n   u,,oudemans1879,,,h oe n oe,,,hals
Mentawai-9_neck-1,26,Mentawai,9_neck,lolokat,l O l O k a t,l   ɔ   l   ɔ   k   a   t,,oudemans1879,,,l o l o k a t,,,hals
Nias-9_neck-1,27,Nias,9_neck,bâgi,b a g i,b   a   g   i,,oudemans1879,,,b â g i,,,hals
Enggano-10_breast-1,28,Enggano,10_breast,émāha,e m a a h a,e   m   a ː   h   a,,oudemans1879,,,é m ā h a,,,borst
Mentawai-10_breast-1,29,Mentawai,10_breast,karoekat,k a r u k a t,k   a   r   u   k   a   t,,oudemans1879,,,k a r oe k a t,,,borst
Nias-10_breast-1,30,Nias,10_breast,baloedjoeso,b a l u j u s O,b   a   l   u   d ͡ ʒ   u   s   ɔ,,oudemans1879,,,b a l oe dj oe s o,,,borst
Enggano-11_belly-1,31,Enggano,11_belly,kiedāi,k i d a a i,k   i   d   a ː   i,,oudemans1879,,,k ie d ā i,,,buik
Mentawai-11_belly-1,32,Mentawai,11_belly,bācha,b a a k h a,b   a ː   k   h   a,,oudemans1879,,,b ā c h a,,,buik
Nias-11_belly-1,33,Nias,11_belly,daloe,d a l u,d   a   l   u,,oudemans1879,,,d a l oe,,,buik
Enggano-12_arm-1,34,Enggano,12_arm,é afo,e # a f O,e   #   a   f   ɔ,,oudemans1879,,,é # a f o,,,arm
Mentawai-12_arm-1,35,Mentawai,12_arm,para,p a r a,p   a   r   a,,oudemans1879,,,p a r a,,,arm
Nias-12_arm-1,36,Nias,12_arm,païo,p a ' i O,p   a   ʔ   i   ɔ,,oudemans1879,,,p a ï o,,,arm
Enggano-13_hand-1,37,Enggano,13_hand,mieno afo,m i n O # a f O,m   i   n   ɔ   #   a   f   ɔ,,oudemans1879,,,m ie n o # a f o,,,hand
Enggano-14_righthand-1,38,Enggano,14_righthand,mieno afo,m i n O # a f O,m   i   n   ɔ   #   a   f   ɔ,,oudemans1879,,,m ie n o # a f o,,,hand rechter
Mentawai-14_righthand-1,39,Mentawai,14_righthand,takip kétjo,t a k i p # k e c O,t   a   k   i   p   #   k   e   t ͡ ʃ   ɔ,,oudemans1879,,,t a k i p # k é tj o,,,hand rechter
Nias-14_righthand-1,40,Nias,14_righthand,tangan gambolo,t a ng a n # g a mb O l O,t   a   ŋ   a   n   #   g   a   ʙ   ɔ   l   ɔ,,oudemans1879,,,t a ng a n # g a mb o l o,,,hand rechter
Enggano-15_lefthand-1,41,Enggano,15_lefthand,mieno afo,m i n O # a f O,m   i   n   ɔ   #   a   f   ɔ,,oudemans1879,,,m ie n o # a f o,,,hand linker
Mentawai-15_lefthand-1,42,Mentawai,15_lefthand,takip toëk,t a k i p # t O ë k,t   a   k   i   p   #   t   ɔ   k,,oudemans1879,,,t a k i p # t o ë k,,,hand linker
Nias-15_lefthand-1,43,Nias,15_lefthand,tangan gambéra,t a ng a n # g a mb e r a,t   a   ŋ   a   n   #   g   a   ʙ   e   r   a,,oudemans1879,,,t a ng a n # g a mb é r a,,,hand linker
Enggano-16_finger-1,44,Enggano,16_finger,mieno,m i n O,m   i   n   ɔ,,oudemans1879,,,m ie n o,,,vinger
Mentawai-16_finger-1,45,Mentawai,16_finger,siñgoñgai,s i ñg O ñg a:i,s   i   ŋ   ɔ   ŋ   a i,,oudemans1879,,,s i ñg o ñg ai,,,vinger
Nias-16_finger-1,46,Nias,16_finger,toeroe,t u r u,t   u   r   u,,oudemans1879,,,t oe r oe,,,vinger
Enggano-17_nail-1,47,Enggano,17_nail,ekaso-afo,e k a x O ' a f O,e   k   a   ç   ɔ   ʔ   a   f   ɔ,,oudemans1879,,,e k a s o - a f o,,,nagel
Mentawai-17_nail-1,48,Mentawai,17_nail,soelet,s u l e t,s   u   l   e   t,,oudemans1879,,,s oe l e t,,,nagel
Nias-17_nail-1,49,Nias,17_nail,tèsâa,t E s a a,t   ɛ   s   a   a,,oudemans1879,,,t è s â a,,,nagel
Enggano-18_thumb-1,50,Enggano,18_thumb,nai-afo,n a:i ' a f O,n   a i   ʔ   a   f   ɔ,,oudemans1879,,,n ai - a f o,,,duim
Mentawai-18_thumb-1,51,Mentawai,18_thumb,sikeboe,s i k e b u,s   i   k   e   b   u,,oudemans1879,,,s i k e b oe,,,duim
Nias-18_thumb-1,52,Nias,18_thumb,toeroe siâ,t u r u # s i a,t   u   r   u   #   s   i   a,,oudemans1879,,,t oe r oe # s i â,,,duim
Enggano-19_indexfinger-1,53,Enggano,19_indexfinger,ejara-afo,e y a r a ' a f O,e   j   a   r   a   ʔ   a   f   ɔ,,oudemans1879,,,e j a r a - a f o,,,wijsvinger
Mentawai-19_indexfinger-1,54,Mentawai,19_indexfinger,benang seoe,b e n a ng # s e u,b   e   n   a   ŋ   #   s   e   u,,oudemans1879,,,b e n a ng # s e oe,,,wijsvinger
Enggano-20_middlefinger-1,55,Enggano,20_middlefinger,éoe-afo,e u ' a f O,e   u   ʔ   a   f   ɔ,,oudemans1879,,,é oe - a f o,,,midd. vinger
Mentawai-20_middlefinger-1,56,Mentawai,20_middlefinger,katenga,k a t e ng a,k   a   t   e   ŋ   a,,oudemans1879,,,k a t e ng a,,,midd. vinger
Nias-20_middlefinger-1,57,Nias,20_middlefinger,toeroe wadâloe,t u r u # w a d a l u,t   u   r   u   #   w   a   d   a   l   u,,oudemans1879,,,t oe r oe # w a d â l oe,,,midd. vinger
Enggano-21_ringfinger-1,58,Enggano,21_ringfinger,kiefa éjoe éjoe,k i f a # e y u # e y u,k   i   f   a   #   e   j   u   #   e   j   u,,oudemans1879,,,k ie f a # é j oe # é j oe,,,ring vinger
Mentawai-21_ringfinger-1,59,Mentawai,21_ringfinger,bagit katenga,b a g i t # k a t e ng a,b   a   g   i   t   #   k   a   t   e   ŋ   a,,oudemans1879,,,b a g i t # k a t e ng a,,,ring vinger
Nias-21_ringfinger-1,60,Nias,21_ringfinger,toeroe taloe,t u r u # t a l u,t   u   r   u   #   t   a   l   u,,oudemans1879,,,t oe r oe # t a l oe,,,ring vinger
Enggano-22_littlefinger-1,61,Enggano,22_littlefinger,miieo-afo noekie,m i O ' a f O # n u k i,m   i   ɔ   ʔ   a   f   ɔ   #   n   u   k   i,,oudemans1879,,,m iie o - a f o # n oe k ie,,,pink
Mentawai-22_littlefinger-1,62,Mentawai,22_littlefinger,tôtjingongai,t o c i ng O ng a:i,t   o   t ͡ ʃ   i   ŋ   ɔ   ŋ   a i,,oudemans1879,,,t ô tj i ng o ng ai,,,pink
Nias-22_littlefinger-1,63,Nias,22_littlefinger,toeroe sideïdei,t u r u # s i d e ' i d e:i,t   u   r   u   #   s   i   d   e   ʔ   i   d   ɛ i,,oudemans1879,,,t oe r oe # s i d e ï d ei,,,pink
Enggano-23_thigh-1,64,Enggano,23_thigh,épara,e p a r a,e   p   a   r   a,,oudemans1879,,,é p a r a,,,dij
Mentawai-23_thigh-1,65,Mentawai,23_thigh,pekâpat,p e k a p a t,p   e   k   a   p   a   t,,oudemans1879,,,p e k â p a t,,,dij
Nias-23_thigh-1,66,Nias,23_thigh,gai,g a:i,g   a i,,oudemans1879,,,g ai,,,dij
Enggano-24_knee-1,67,Enggano,24_knee,éfoe,e f u,e   f   u,,oudemans1879,,,é f oe,,,knie
Mentawai-24_knee-1,68,Mentawai,24_knee,bôkelô,b o k e l o,b   o   k   e   l   o,,oudemans1879,,,b ô k e l ô,,,knie
Nias-24_knee-1,69,Nias,24_knee,baloedoeho,b a l u d u h O,b   a   l   u   d   u   h   ɔ,,oudemans1879,,,b a l oe d oe h o,,,knie
Enggano-25_womansbreast-1,70,Enggano,25_womansbreast,é koko,e # k O k O,e   #   k   ɔ   k   ɔ,,oudemans1879,,,é # k o k o,,,vrouwenborst
Mentawai-25_womansbreast-1,71,Mentawai,25_womansbreast,tôtôt,t o t o t,t   o   t   o   t,,oudemans1879,,,t ô t ô t,,,vrouwenborst
Nias-25_womansbreast-1,72,Nias,25_womansbreast,doesoe,d u s u,d   u   s   u,,oudemans1879,,,d oe s oe,,,vrouwenborst
Enggano-26_body-1,73,Enggano,26_body,karaha,k a r a h a,k   a   r   a   h   a,,oudemans1879,,,k a r a h a,,,lichaam
Mentawai-26_body-1,74,Mentawai,26_body,toeboe,t u b u,t   u   b   u,,oudemans1879,,,t oe b oe,,,lichaam
Nias-26_body-1,75,Nias,26_body,bôtô,b o t o,b   o   t   o,,oudemans1879,,,b ô t ô,,,lichaam
Enggano-27_person-1,76,Enggano,27_person,etakka,e t a k k a,e   t   a   k   k   a,,oudemans1879,,,e t a k k a,,,mensch
Mentawai-27_person-1,77,Mentawai,27_person,sekalelègat,s e k a l e l E g a t,s   e   k   a   l   e   l   ɛ   g   a   t,,oudemans1879,,,s e k a l e l è g a t,,,mensch
Nias-27_person-1,78,Nias,27_person,nîha,n i h a,n   i   h   a,,oudemans1879,,,n î h a,,,mensch
Enggano-28_man-1,79,Enggano,28_man,émané,e m a n e,e   m   a   n   e,,oudemans1879,,,é m a n é,,,man
Nias-28_man-1,80,Nias,28_man,nîha simatoea,n i h a # s i m a t u a,n   i   h   a   #   s   i   m   a   t   u   a,,oudemans1879,,,n î h a # s i m a t oe a,,,man
Enggano-29_woman-1,81,Enggano,29_woman,éhoda,e h O d a,e   h   ɔ   d   a,,oudemans1879,,,é h o d a,,,vrouw
Mentawai-29_woman-1,82,Mentawai,29_woman,nenalep,n e n a l e p,n   e   n   a   l   e   p,,oudemans1879,,,n e n a l e p,,,vrouw
Nias-29_woman-1,83,Nias,29_woman,nîha sihalāwé,n i h a # s i x a l a a w e,n   i   h   a   #   s   i   ç   a   l   a ː   w   e,,oudemans1879,,,n î h a # s i h a l ā w é,,,vrouw
Enggano-30_child-1,84,Enggano,30_child,famoa,f a m O a,f   a   m   ɔ   a,,oudemans1879,,,f a m o a,,,kind
Mentawai-30_child-1,85,Mentawai,30_child,tôga,t o g a,t   o   g   a,,oudemans1879,,,t ô g a,,,kind
Nias-30_child-1,86,Nias,30_child,iraônô,i r a o n o,i   r   a   o   n   o,,oudemans1879,,,i r a ô n ô,,,kind
Enggano-31_virgin-1,87,Enggano,31_virgin,efainama,e f a:i n a m a,e   f   a i   n   a   m   a,,oudemans1879,,,e f ai n a m a,,,maagd
Mentawai-31_virgin-1,88,Mentawai,31_virgin,sjôkô,s y o k o,s   j   o   k   o,,oudemans1879,,,s j ô k ô,,,maagd
Nias-31_virgin-1,89,Nias,31_virgin,ira labè,i r a # l a b E,i   r   a   #   l   a   b   ɛ,,oudemans1879,,,i r a # l a b è,,,maagd
Enggano-32_oldpersonm-1,90,Enggano,32_oldpersonm,ekafoe,e k a f u,e   k   a   f   u,,oudemans1879,,,e k a f oe,,,oud mensch
Mentawai-32_oldpersonm-1,91,Mentawai,32_oldpersonm,bâdja,b a j a,b   a   d ͡ ʒ   a,,oudemans1879,,,b â dj a,,,oud mensch
Nias-32_oldpersonm-1,92,Nias,32_oldpersonm,niha satoewa,n i x a # s a t u w a,n   i   ç   a   #   s   a   t   u   w   a,,oudemans1879,,,n i h a # s a t oe w a,,,oud mensch
Enggano-33_oldpersonf-1,93,Enggano,33_oldpersonf,kaniejahé,k a n i y a h e,k   a   n   i   j   a   h   e,,oudemans1879,,,k a n ie j a h é,,,oud mensch
Mentawai-33_oldpersonf-1,94,Mentawai,33_oldpersonf,bâdja,b a j a,b   a   d ͡ ʒ   a,,oudemans1879,,,b â dj a,,,oud mensch
Nias-33_oldpersonf-1,95,Nias,33_oldpersonf,niha satoewa,n i x a # s a t u w a,n   i   ç   a   #   s   a   t   u   w   a,,oudemans1879,,,n i h a # s a t oe w a,,,oud mensch
Enggano-34_youngperson-1,96,Enggano,34_youngperson,fananamie,f a n a n a m i,f   a   n   a   n   a   m   i,,oudemans1879,,,f a n a n a m ie,,,jong mensch
Mentawai-34_youngperson-1,97,Mentawai,34_youngperson,soelè,s u l E,s   u   l   ɛ,,oudemans1879,,,s oe l è,,,jong mensch
Nias-34_youngperson-1,98,Nias,34_youngperson,niha sakaboejoe,n i x a # s a k a b u y u,n   i   ç   a   #   s   a   k   a   b   u   j   u,,oudemans1879,,,n i h a # s a k a b oe j oe,,,jong mensch
Enggano-35_father-1,99,Enggano,35_father,amama,a m a m a,a   m   a   m   a,,oudemans1879,,,a m a m a,,,vader
Mentawai-35_father-1,100,Mentawai,35_father,oekoei,u k O e:i,u   k   ɔ   ɛ i,,oudemans1879,,,oe k o ei,,,vader
Nias-35_father-1,101,Nias,35_father,ama,a m a,a   m   a,,oudemans1879,,,a m a,,,vader
Enggano-36_mother-1,102,Enggano,36_mother,naina,n a:i n a,n   a i   n   a,,oudemans1879,,,n ai n a,,,moeder
Mentawai-36_mother-1,103,Mentawai,36_mother,manda ina,m a n d a # i n a,m   a   n   d   a   #   i   n   a,,oudemans1879,,,m a n d a # i n a,,,moeder
Nias-36_mother-1,104,Nias,36_mother,ina,i n a,i   n   a,,oudemans1879,,,i n a,,,moeder
Enggano-37_son-1,105,Enggano,37_son,éjara émane,e y a r a # e m a n e,e   j   a   r   a   #   e   m   a   n   e,,oudemans1879,,,é j a r a # é m a n e,,,zoon
Mentawai-37_son-1,106,Mentawai,37_son,tôga semanteoe,t o g a # s e m a n t e u,t   o   g   a   #   s   e   m   a   n   t   e   u,,oudemans1879,,,t ô g a # s e m a n t e oe,,,zoon
Nias-37_son-1,107,Nias,37_son,iraeumeu simatoewa,i r a e:u m e:u # s i m a t u w a,i   r   a   ɛ u   m   ɛ u   #   s   i   m   a   t   u   w   a,,oudemans1879,,,i r a eu m eu # s i m a t oe w a,,,zoon
Enggano-38_daughter-1,108,Enggano,38_daughter,éjara éhoda,e y a r a # e h O d a,e   j   a   r   a   #   e   h   ɔ   d   a,,oudemans1879,,,é j a r a # é h o d a,,,dochter
Mentawai-38_daughter-1,109,Mentawai,38_daughter,sinanalep,s i n a n a l e p,s   i   n   a   n   a   l   e   p,,oudemans1879,,,s i n a n a l e p,,,dochter
Nias-38_daughter-1,110,Nias,38_daughter,iraeumeu sihalāwè,i r a e:u m e:u # s i x a l a a w E,i   r   a   ɛ u   m   ɛ u   #   s   i   ç   a   l   a ː   w   ɛ,,oudemans1879,,,i r a eu m eu # s i h a l ā w è,,,dochter
Enggano-39_uncle-1,111,Enggano,39_uncle,kahoe,k a h u,k   a   h   u,,oudemans1879,,,k a h oe,,,oom
Mentawai-39_uncle-1,112,Mentawai,39_uncle,pamâman,p a m a m a n,p   a   m   a   m   a   n,,oudemans1879,,,p a m â m a n,,,oom
Nias-39_uncle-1,113,Nias,39_uncle,anasiaki,a n a s i a k i,a   n   a   s   i   a   k   i,,oudemans1879,,,a n a s i a k i,,,oom
Enggano-40_cousinfemale-1,114,Enggano,40_cousinfemale,à-à,a ' a,a   ʔ   a,,oudemans1879,,,à - à,,,neef (cousin)
Mentawai-40_cousinfemale-1,115,Mentawai,40_cousinfemale,boea,b u a,b   u   a,,oudemans1879,,,b oe a,,,neef (cousin)
Nias-40_cousinfemale-1,116,Nias,40_cousinfemale,talifoeso,t a l i f u s O,t   a   l   i   f   u   s   ɔ,,oudemans1879,,,t a l i f oe s o,,,neef (cousin)
Nias-41_cousinmale-1,117,Nias,41_cousinmale,onowinîo,O n O w i n i O,ɔ   n   ɔ   w   i   n   i   ɔ,,oudemans1879,,,o n o w i n î o,,,neef (neven)
Enggano-42_grandfather-1,118,Enggano,42_grandfather,oefoenai,u f u n a:i,u   f   u   n   a i,,oudemans1879,,,oe f oe n ai,,,grootvader
Enggano-43_grandmother-1,119,Enggano,43_grandmother,oefoenai,u f u n a:i,u   f   u   n   a i,,oudemans1879,,,oe f oe n ai,,,grootmoeder
Enggano-44_grandson-1,120,Enggano,44_grandson,koöfijoe,k o ' o f i y u,k   o   ʔ   o   f   i   j   u,,oudemans1879,,,k oö f i j oe,,,kleinzoon
Enggano-45_granddaughter-1,121,Enggano,45_granddaughter,koöfijoe,k o ' o f i y u,k   o   ʔ   o   f   i   j   u,,oudemans1879,,,k oö f i j oe,,,kleindochter
Enggano-46_loincloth-1,122,Enggano,46_loincloth,eafie,e a f i,e   a   f   i,,oudemans1879,,,e a f ie,,,band om het middel en tusschen de beenen door
Enggano-47_dog-1,123,Enggano,47_dog,eafiē,e a f i e e,e   a   f   i   e ː,,oudemans1879,,,e a f i ē,,,hond
Mentawai-47_dog-1,124,Mentawai,47_dog,djôhdjôh,j o h j o h,d ͡ ʒ   o   h   d ͡ ʒ   o   h,,oudemans1879,,,dj ô h dj ô h,,,hond
Nias-47_dog-1,125,Nias,47_dog,asoe,a s u,a   s   u,,oudemans1879,,,a s oe,,,hond
Enggano-48_pig-1,126,Enggano,48_pig,kojo,k O y O,k   ɔ   j   ɔ,,oudemans1879,,,k o j o,,,varken
Mentawai-48_pig-1,127,Mentawai,48_pig,sikôko,s i k o k O,s   i   k   o   k   ɔ,,oudemans1879,,,s i k ô k o,,,varken
Nias-48_pig-1,128,Nias,48_pig,babi,b a b i,b   a   b   i,,oudemans1879,,,b a b i,,,varken
Mentawai-49_deer-1,129,Mentawai,49_deer,semasoera,s e m a s u r a,s   e   m   a   s   u   r   a,,oudemans1879,,,s e m a s oe r a,,,hert
Nias-49_deer-1,130,Nias,49_deer,beuheu,b e:u h e:u,b   ɛ u   h   ɛ u,,oudemans1879,,,b eu h eu,,,hert
Enggano-50_cat-1,131,Enggano,50_cat,ebéo,e b e O,e   b   e   ɔ,,oudemans1879,,,e b é o,,,kat
Mentawai-50_cat-1,132,Mentawai,50_cat,maoe,m a ' u,m   a   ʔ   u,,oudemans1879,,,m aoe,,,kat
Nias-50_cat-1,133,Nias,50_cat,maoe,m a ' u,m   a   ʔ   u,,oudemans1879,,,m aoe,,,kat
Enggano-51_rooster-1,134,Enggano,51_rooster,eokeiko émané,e O k e:i k O # e m a n e,e   ɔ   k   ɛ i   k   ɔ   #   e   m   a   n   e,,oudemans1879,,,e o k ei k o # é m a n é,,,haan
Mentawai-51_rooster-1,135,Mentawai,51_rooster,gôgô eilaloek,g o g o # e:i l a l u k,g   o   g   o   #   ɛ i   l   a   l   u   k,,oudemans1879,,,g ô g ô # ei l a l oe k,,,haan
Nias-51_rooster-1,136,Nias,51_rooster,manoe tjilatao,m a n u # c i l a t a O,m   a   n   u   #   t ͡ ʃ   i   l   a   t   a   ɔ,,oudemans1879,,,m a n oe # tj i l a t a o,,,haan
Enggano-52_hen-1,137,Enggano,52_hen,eokeiko ehoeda,e O k e:i k O # e h u d a,e   ɔ   k   ɛ i   k   ɔ   #   e   h   u   d   a,,oudemans1879,,,e o k ei k o # e h oe d a,,,kip
Mentawai-52_hen-1,138,Mentawai,52_hen,gôgô semanosa,g o g o # s e m a n O s a,g   o   g   o   #   s   e   m   a   n   ɔ   s   a,,oudemans1879,,,g ô g ô # s e m a n o s a,,,kip
Nias-52_hen-1,139,Nias,52_hen,manoe sipagèlo,m a n u # s i p a g E l O,m   a   n   u   #   s   i   p   a   g   ɛ   l   ɔ,,oudemans1879,,,m a n oe # s i p a g è l o,,,kip
